SELECTIONSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1541,1539,1520,1544,1531
100,5665,5655,5667,5679,5688
500,129036,129040,129014,129043,129091
800,326905,326891,326950,326743,326781
1000,508614,508811,508751,508802,508632
2000,2018571,2018265,2018429,2018762,2018429
5000,12548892,12548903,12547149,12548244,12547807
10000,50098604,50097425,50097905,50098147,50098567
BUBBLESORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1854,1823,1887,1859,1927
100,7722,7589,7361,7661,7781
500,185397,187142,189903,185579,187574
800,471692,480827,481135,482025,479548
1000,739003,748639,742439,753072,746647
2000,2993518,2995700,2994786,3020221,2972221
5000,18695872,18727323,18703398,18767743,18803458
10000,75278912,74687052,75026786,74969167,74966118
HEAPSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1610,1642,1585,1593,1620
100,3863,3824,3808,3905,3868
500,26751,26905,26837,26820,26760
800,46712,46230,46504,46552,46415
1000,60247,59925,60018,60125,60033
2000,133078,133368,133565,133107,133027
5000,376401,376197,375839,375771,376117
10000,816969,817852,817759,816822,816169
INSERTIONSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,1284,1272,1413,1389,1451
100,4573,5514,5444,5243,5041
500,120210,126361,127812,123034,116231
800,318582,315224,315251,313036,322364
1000,506466,503470,513511,499924,502746
2000,2037437,2051186,1999332,2033008,1980786
5000,12555627,12566762,12605756,12521596,12487913
10000,49962972,49753950,50364312,49668126,50609184
MERGESORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,841,849,837,846,843
100,1976,1982,1980,1984,1982
500,13328,13339,13353,13328,13346
800,23032,23060,23042,23076,23070
1000,29664,29672,29646,29662,29657
2000,65300,65302,65306,65341,65278
5000,183890,183907,183805,183806,183802
10000,397755,397639,397762,397729,397758
QUICKSORT,-,-,-,-,-
TAMAÑO/PRUEBA,1,2,3,4,5
50,808,865,746,730,855
100,2056,1647,1970,2002,1776
500,13017,13598,15783,13155,15108
800,25455,21373,20975,25236,22809
1000,31030,32065,31101,30072,30399
2000,65258,72406,70033,65124,71714
5000,241301,220986,223307,214434,231063
10000,584291,538624,605914,549431,544737
